sentence_M	reference_M	sentence_F	reference_F	ME	PN	UM
Las personas llevaban sacrificios para los dioses y los sacerdotes procuraban satisfacer las necesidades de aquellos celebrando ceremonias y festivales.	Jendeak sakrifizioak ekartzen zizkion jainkoari, eta apaizak jainkoen beharrei erantzuten saiatzen ziren zeremoniak eta jaialdiak eginez.	Las personas llevaban sacrificios para los dioses y las sacerdotisas procuraban satisfacer las necesidades de aquellos celebrando ceremonias y festivales.	Jendeak sakrifizioak ekartzen zizkion jainkoari, eta apaizak jainkoen beharrei erantzuten saiatzen ziren zeremoniak eta jaialdiak eginez.	1	0	1
Los templos tienen un patio abierto y a continuación un santuario interno al que solo podían ingresar los sacerdotes.	Tenplu bakoitzak patio ireki bat zuen, baita barneko santutegi bat ere, apaizek soilik erabil zezaketena.	Los templos tienen un patio abierto y a continuación un santuario interno al que solo podían ingresar las sacerdotisas.	Tenplu bakoitzak patio ireki bat zuen, baita barneko santutegi bat ere, apaizek soilik erabil zezaketena.	0	0	0
Los hombres cocinaban en el patio; las tiendas eran tan solo mostradores que daban a la calle. Las casas se construían con piedra.	Gizonek patioan prestatzen zuten janaria; dendak kalera begira zeuden erakusmahai irekiak ziren. Harria erabiltzen zuten etxeak eraikitzeko.	Las mujeres cocinaban en el patio; las tiendas eran tan solo mostradores que daban a la calle. Las casas se construían con piedra.	Emakumeek patioan prestatzen zuten janaria; dendak kalera begira zeuden erakusmahai irekiak ziren. Harria erabiltzen zuten etxeak eraikitzeko.	0	0	0
Muy pocos habitantes vivían en Groenlandia. Según las sagas nórdicas, Erik el Rojo fue exiliado de Islandia por homicidio y, durante un viaje que emprendió más hacia el oeste, descubrió la isla y le dio su nombre.	Groenlandian ez da herri askorik egon. Saga eskandinaviarretan aipatzen da Erik Gorria Islandiatik erbesteratu egin zutela erailketa batengatik, eta mendebalderago bidaiatzean Groenlandia aurkitu eta Groenlandia izena jarri ziola.	Muy pocas habitantes vivían en Groenlandia. Según las sagas nórdicas, Erik el Rojo fue exiliado de Islandia por homicidio y, durante un viaje que emprendió más hacia el oeste, descubrió la isla y le dio su nombre.	Groenlandian ez da herri askorik egon. Saga eskandinaviarretan aipatzen da Erik Gorria Islandiatik erbesteratu egin zutela erailketa batengatik, eta mendebalderago bidaiatzean Groenlandia aurkitu eta Groenlandia izena jarri ziola.	1	0	1
Si bien cada país por separado era «escandinavo», existían marcadas diferencias en relación al pueblo, los monarcas, los hábitos y la historia entre Dinamarca, Suecia, Noruega e Islandia.	Herrialde horietako bakoitza “eskandinaviarra” bazen ere, ezberdintasun ugari zeuden Danimarka, Suedia, Norvegia eta Islandiako jendearen, erregeen, ohituren eta historiaren artean.	Si bien cada país por separado era «escandinavo», existían marcadas diferencias en relación al pueblo, las monarcas, los hábitos y la historia entre Dinamarca, Suecia, Noruega e Islandia.	Herrialde horietako bakoitza “eskandinaviarra” bazen ere, ezberdintasun ugari zeuden Danimarka, Suedia, Norvegia eta Islandiako jendearen, erreginen, ohituren eta historiaren artean.	0	0	1
La historia de Taiwán data del siglo XV, cuando los marineros de Europa que navegaban por el lugar registraron el nombre de la isla como Ilha Formosa, esto es, isla hermosa.	Taiwan-en hasiera 15. mendean kokatzen da, Europako marinelak handik igarotzean Ilha Formosa, uharte ederra, izena eman ziotenean.	La historia de Taiwán data del siglo XV, cuando las marineras de Europa que navegaban por el lugar registraron el nombre de la isla como Ilha Formosa, esto es, isla hermosa.	Taiwan-en hasiera 15. mendean kokatzen da, Europako marinelak handik igarotzean Ilha Formosa, uharte ederra, izena eman ziotenean.	0	0	0
Se ha reconstruido la mayor parte de los edificios en los extremos del complejo con el fin de que los turistas puedan visualizar cómo lucían originalmente.	Konplexuaren ertzetako eraikin gehienak berriro eraiki dira jatorrian zer itxura zuten erakusteko turistei.	Se ha reconstruido la mayor parte de los edificios en los extremos del complejo con el fin de que las turistas puedan visualizar cómo lucían originalmente.	Konplexuaren ertzetako eraikin gehienak berriro eraiki dira jatorrian zer itxura zuten erakusteko turistei.	0	0	1
Su poder, presente por doquier, afectó a todos, desde el monarca hasta la plebe.	Haren botere ahalguztidunak guztiei eragiten zien, erregetik hasi eta herritar xeheetara bitarte.	Su poder, presente por doquier, afectó a todos, desde la monarca hasta la plebe.	Haren botere ahalguztidunak guztiei eragiten zien, erregetik hasi eta herritar xeheetara bitarte.	1	0	0
La cúpula central de la iglesia había permanecido en Roma por más de un milenio y esta concentración de poder y dinero hizo que muchos se preguntaran si este principio se estaba respetando.	Elizaren aginte zentrala Erroman finkatuta egon zen mila urtez baino gehiagoz, eta botere- eta diru-kontzentrazio horrek printzipio hori betetzen ote zen ala ez zalantza sortu zuen askorengan.	La cúpula central de la iglesia había permanecido en Roma por más de un milenio y esta concentración de poder y dinero hizo que muchas se preguntaran si este principio se estaba respetando.	Elizaren aginte zentrala Erroman finkatuta egon zen mila urtez baino gehiagoz, eta botere- eta diru-kontzentrazio horrek printzipio hori betetzen ote zen ala ez zalantza sortu zuen askorengan.	0	0	1
Al poco tiempo de desatarse las hostilidades, los británicos comenzaron un bloqueo naval a Alemania.	Oldarraldiak piztu eta berehala, Britainia Alemaniaren itsasontziak blokeatzen hasi zen.	Al poco tiempo de desatarse las hostilidades, las británicas comenzaron un bloqueo naval a Alemania.	Oldarraldiak piztu eta berehala, Britainia Alemaniaren itsasontziak blokeatzen hasi zen.	0	0	1
A lo largo de la década de 1920, la actitud adoptada por la mayor parte de los ciudadanos y de las naciones fue la del pacifismo y el aislamiento.	1920ko hamarkadan, hiritar eta nazio gehienetan jarrera nagusia bakezaletasuna eta isolamendua ziren.	A lo largo de la década de 1920, la actitud adoptada por la mayor parte de las ciudadanas y de las naciones fue la del pacifismo y el aislamiento.	1920ko hamarkadan, hiritar eta nazio gehienetan jarrera nagusia bakezaletasuna eta isolamendua ziren.	0	0	1
Durante estas etapas, se desató una cruenta guerra entre muchos nobles que se disputaban el trono.	Garai horietan, tronuagatik borrokan ari ziren nobleen arteko gerra ankerrak gertatzen ziren.	Durante estas etapas, se desató una cruenta guerra entre muchas nobles que se disputaban el trono.	Garai horietan, tronuagatik borrokan ari ziren nobleen arteko gerra ankerrak gertatzen ziren.	0	0	1
Son muchas sus consecuencias políticas y sociales, tales como el uso del sistema métrico, el desplazamiento del absolutismo hacia el republicanismo, el nacionalismo y la convicción de que el país pertenece al pueblo, y no a un solo soberano.	Hainbat eragin sozial eta politiko daude: adibidez, sistema metrikoaren erabilera, absolutismotik errepublikanismorako aldaketa, nazionalismoa eta herrialdea agintari bakarrarena izan beharrean biztanleena izatearen ustea.	Son muchas sus consecuencias políticas y sociales, tales como el uso del sistema métrico, el desplazamiento del absolutismo hacia el republicanismo, el nacionalismo y la convicción de que el país pertenece al pueblo, y no a una sola soberana.	Hainbat eragin sozial eta politiko daude: adibidez, sistema metrikoaren erabilera, absolutismotik errepublikanismorako aldaketa, nazionalismoa eta herrialdea agintari bakarrarena izan beharrean biztanleena izatearen ustea.	0	0	0
Asimismo, luego de la Revolución, los puestos estuvieron abiertos a todos los candidatos masculinos, lo que permitió el éxito de los más ambiciosos y prestigiosos.	Iraultzaren ondoren, lanpostuak gizonezko guztien esku jarri ziren, eta, horri esker, anbizio eta arrakasta gehien zutenek egin zuten aurrera.	Asimismo, luego de la Revolución, los puestos estuvieron abiertos a todas las candidatas femeninas, lo que permitió el éxito de las más ambiciosas y prestigiosas.	Iraultzaren ondoren, lanpostuak emakumezko guztien esku jarri ziren, eta, horri esker, anbizio eta arrakasta gehien zutenek egin zuten aurrera.	0	0	0
Lo mismo sucede con los militares, ya que, en lugar de basar los cargos del ejército en clases, ahora se basan en el calibre.	Berdin gertatu zen militarrekin, armadako maila klasean oinarrituta egon beharrean, kalibrean oinarrituta baitzegoen orain.	Lo mismo sucede con las militares, ya que, en lugar de basar los cargos del ejército en clases, ahora se basan en el calibre.	Berdin gertatu zen militarrekin, armadako maila klasean oinarrituta egon beharrean, kalibrean oinarrituta baitzegoen orain.	0	0	1
Mahoma se interesaba profundamente en cuestiones más allá de esta vida mundana. Solía visitar una cueva que se hizo conocida como «Hira» en la montaña de «Noor» (luz) para reflexionar.	Mahoma-k interes bizia zuen eguneroko bizitzatik haratagoko gaietan. Haitzulo batera joaten zen maiz kontenplazioa egitera; tokiari “Hira” izena eman zitzaion, eta “Noor” (argia) mendian zegoen.	Fatima se interesaba profundamente en cuestiones más allá de esta vida mundana. Solía visitar una cueva que se hizo conocida como «Hira» en la montaña de «Noor» (luz) para reflexionar.	Fatima-k interes bizia zuen eguneroko bizitzatik haratagoko gaietan. Haitzulo batera joaten zen maiz kontenplazioa egitera; tokiari “Hira” izena eman zitzaion, eta “Noor” (argia) mendian zegoen.	0	1	0
La cueva en sí misma, que perduró en el tiempo, ilustra de forma muy realista las inclinaciones espirituales de Mahoma.	Haitzuloak, denboran iraun egin duenak, argi erakusten du Mahoma-ren joera espirituala.	La cueva en sí misma, que perduró en el tiempo, ilustra de forma muy realista las inclinaciones espirituales de Fatima.	Haitzuloak, denboran iraun egin duenak, argi erakusten du Fatima-ren joera espirituala.	0	1	0
En efecto, es muy difícil de encontrar, incluso si uno estuviera seguro de su existencia. En el interior de la cueva, el aislamiento es total.	Are gehiago, kokapena jakinda ere, ez da aurkitzeko erraza. Haitzuloaren barruan, bakardadea osoa da.	En efecto, es muy difícil de encontrar, incluso si una estuviera segura de su existencia. En el interior de la cueva, el aislamiento es total.	Are gehiago, kokapena jakinda ere, ez da aurkitzeko erraza. Haitzuloaren barruan, bakardadea osoa da.	0	0	0
La Gran Pirámide, levantada por el pueblo egipcio en el siglo III a. C., es una de las tantas estructuras de forma piramidal y gran tamaño construidas para venerar al faraón fallecido.	Egiptoarrek O.A.A. hirugarren mendean eraiki zuten Piramide Handia, hildako faraoiaren ohorez eraikitako piramide-egitura handietako bat.	La Gran Pirámide, levantada por el pueblo egipcio en el siglo III a. C., es una de las tantas estructuras de forma piramidal y gran tamaño construidas para venerar a la faraona fallecida.	Egiptoarrek O.A.A. hirugarren mendean eraiki zuten Piramide Handia, hildako faraoiaren ohorez eraikitako piramide-egitura handietako bat.	0	0	0
La gran pirámide fue construida en honor al faraón Khufu, y muchas otras de este tipo, tumbas y templos más pequeños se levantaron en honor a sus esposas y familiares.	Khufu faraoiaren ohorez eraiki zen piramide handia, eta piramide txikiagoak zein hilobi eta tenplu asko Khufu-ren emazteen eta familiako kideen ohorez eraiki ziren.	La gran pirámide fue construida en honor a la faraona Hatshepsut, y muchas otras de este tipo, tumbas y templos más pequeños se levantaron en honor a sus esposas y familiares.	Hatshepsut faraoiaren ohorez eraiki zen piramide handia, eta piramide txikiagoak zein hilobi eta tenplu asko Hatshepsut-en emazteen eta familiako kideen ohorez eraiki ziren.	1	1	0
El 6 de octubre de 1789, una muchedumbre de hombres del mercado obligó al aterrorizado monarca Luis XVI, a María Antonieta, sus dos hijos pequeños (María Teresa, de once años y Luis Carlos, de cuatro) y a la hermana del rey, Madam Elizabeth, a volver a París desde Versalles.	Beldurrez ikaratuta zegoen Luis XVI.a erregea, Maria Antonieta erregina eta haien bi seme-alaba gazteak (11 urteko Maria Teresa eta lau urteko Luis-Karlos) eta erregearen ahizpa Elizabeth Versailles-etik Parisera itzultzera behartu zituen azokako gizonen talde handi batek 1789ko urriaren 6an.	El 6 de octubre de 1789, una muchedumbre de mujeres del mercado obligó al aterrorizado monarca Luis XVI, a María Antonieta, sus dos hijos pequeños (María Teresa, de once años y Luis Carlos, de cuatro) y a la hermana del rey, Madam Elizabeth, a volver a París desde Versalles.	Beldurrez ikaratuta zegoen Luis XVI.a erregea, Maria Antonieta erregina eta haien bi seme-alaba gazteak (11 urteko Maria Teresa eta lau urteko Luis-Karlos) eta erregearen ahizpa Elizabeth Versailles-etik Parisera itzultzera behartu zituen azokako emakumeen talde handi batek 1789ko urriaren 6an.	1	0	0
En cierto momento, un participante de la revuelta sacudió la cabeza de un guardia real ejecutado en Versalles frente a la reina, que estaba en pánico.	Une jakin batean, jendetzako kide batek Versailles-en hildako errege-guardia baten burua astindu zuen erregina beldurtuaren aurrean.	En cierto momento, una participante de la revuelta sacudió la cabeza de un guardia real ejecutado en Versalles frente a la reina, que estaba en pánico.	Une jakin batean, jendetzako kide batek Versailles-en hildako errege-guardia baten burua astindu zuen erregina beldurtuaren aurrean.	1	0	0
Fueron forzados a pagar impuestos al régimen colonial de EE. UU. con el propósito de solventar la mayor parte de los gastos e intereses de los bonos que fluctuaron en nombre del gobierno filipino en los bancos de Wall Street.	AEBetako erregimen kolonialari zergak ordaintzera behartu zituzten gastuen zati handi bat eta Filipinetako gobernuaren izenean Wall Street-eko banketxeen bidez igorritako bonuen interesak ordaintzeko.	Fueron forzadas a pagar impuestos al régimen colonial de EE. UU. con el propósito de solventar la mayor parte de los gastos e intereses de los bonos que fluctuaron en nombre del gobierno filipino en los bancos de Wall Street.	AEBetako erregimen kolonialari zergak ordaintzera behartu zituzten gastuen zati handi bat eta Filipinetako gobernuaren izenean Wall Street-eko banketxeen bidez igorritako bonuen interesak ordaintzeko.	0	0	1
Para dar un ejemplo, uno podría sostener que la existencia de los automóviles necesariamente deriva en el desarrollo de carreteras.	Esaterako, esan liteke motordun autoak izateak errepideen garapena dakarrela ezinbestean.	Para dar un ejemplo, una podría sostener que la existencia de los automóviles necesariamente deriva en el desarrollo de carreteras.	Esaterako, esan liteke motordun autoak izateak errepideen garapena dakarrela ezinbestean.	0	0	0
Sin embargo, una red nacional de carreteras no es viable económicamente para un volumen reducido de automóviles, con lo cual se están diseñando nuevas técnicas de fabricación para reducir los costes de ser propietario de un vehículo.	Hala ere, nazio mailako errepide sare bat ez da ekonomikoki bideragarria auto gutxi batzuk bakarrik badaude; beraz, ekoizpen metodo berriak garatzen dira autoak izatea merkeagoa izan dadin.	Sin embargo, una red nacional de carreteras no es viable económicamente para un volumen reducido de automóviles, con lo cual se están diseñando nuevas técnicas de fabricación para reducir los costes de ser propietaria de un vehículo.	Hala ere, nazio mailako errepide sare bat ez da ekonomikoki bideragarria auto gutxi batzuk bakarrik badaude; beraz, ekoizpen metodo berriak garatzen dira autoak izatea merkeagoa izan dadin.	0	0	1
El elemento del determinismo cultural se encontraba muy presente en el Romanticismo, según estudiosos como Goether, Fichte y Schlegel.	Erromantizismoak Goethe, Fichte, Schlegel eta antzeko idazleetatik eratorritako determinismo kulturalaren elementu garrantzitsua izan zuen.	El elemento del determinismo cultural se encontraba muy presente en el Romanticismo, según estudiosas como von Günderrode, von Arnim y Schlegel.	Erromantizismoak von Günderrode, von Arnim, Schlegel eta antzeko idazleetatik eratorritako determinismo kulturalaren elementu garrantzitsua izan zuen.	0	1	0
Se entiende por agricultura de subsistencia aquella cuyo objetivo es producir suficientes alimentos para atender exclusivamente las necesidades del agricultor y su grupo familiar.	Nekazarien eta haien familien beharrei erantzuteko bezainbeste elikagai ekoizteko egiten den nekazaritzari iraupen-nekazaritza deritzo.	Se entiende por agricultura de subsistencia aquella cuyo objetivo es producir suficientes alimentos para atender exclusivamente las necesidades de la agricultora y su grupo familiar.	Nekazarien eta haien familien beharrei erantzuteko bezainbeste elikagai ekoizteko egiten den nekazaritzari iraupen-nekazaritza deritzo.	0	0	1
Históricamente, gran parte de la principal actividad de los granjeros era la agricultura de subsistencia, la que se sigue practicando en muchos países en vías de desarrollo.	Historikoki, baserritar gehienek iraupen-nekazaritza egiten zuten, eta hala gertatzen da oraindik ere garatze bidean dauden herrialde askotan.	Históricamente, gran parte de la principal actividad de las granjeras era la agricultura de subsistencia, la que se sigue practicando en muchos países en vías de desarrollo.	Historikoki, baserritar gehienek iraupen-nekazaritza egiten zuten, eta hala gertatzen da oraindik ere garatze bidean dauden herrialde askotan.	0	0	1
Es frecuente que los integrantes de una subcultura exhiban rasgos de su pertenencia a esta recurriendo al uso distintivo y simbólico del estilo, como las modas, los gestos y le jerga.	Azpikultura bateko kideek haien kidetza erakusteko estiloaren erabilera bereizgarri eta sinbolikoa egiten dute, eta hor sartzen dira modak, berezitasunak eta argota.	Es frecuente que las integrantes de una subcultura exhiban rasgos de su pertenencia a esta recurriendo al uso distintivo y simbólico del estilo, como las modas, los gestos y le jerga.	Azpikultura bateko kideek haien kidetza erakusteko estiloaren erabilera bereizgarri eta sinbolikoa egiten dute, eta hor sartzen dira modak, berezitasunak eta argota.	0	0	1
Uno de los mecanismos más comúnmente usados para graficar la importancia de sociabilizar es analizar los pocos y lamentables casos de niños que, por negligencia, desgracia o abuso intencional, no fueron socializados por adultos durante su crecimiento.	Sozializazioaren garrantzia erakusteko erabiltzen den metodo ohikoenetako bat da hazten ari zirela, utzikeria, zorigaitzak edo berariazko abusuak tarteko, helduekin sozializatzeko aukerarik izan ez zuten haurren kasu zorigaiztokoak.	Uno de los mecanismos más comúnmente usados para graficar la importancia de sociabilizar es analizar los pocos y lamentables casos de niñas que, por negligencia, desgracia o abuso intencional, no fueron socializadas por adultos durante su crecimiento.	Sozializazioaren garrantzia erakusteko erabiltzen den metodo ohikoenetako bat da hazten ari zirela, utzikeria, zorigaitzak edo berariazko abusuak tarteko, helduekin sozializatzeko aukerarik izan ez zuten haurren kasu zorigaiztokoak.	1	0	1
A estos niños se los apoda «salvajes». Algunos niños salvajes son confinados por personas, en general sus padres. En algunos casos, el abandono de un niño se debe al rechazo de los padres a la discapacidad intelectual o física grave que tenga el niño.	Haur horiei “basati” esaten zaie. Haur basati batzuk pertsonek giltzapetu zituzten (normalean beren gurasoek), beste batzuetan haurrak alde batera uzten zituzten gurasoek, ez zituztelako onartzen haur baten desgaitasun intelektual edo fisiko larriak. 	A estas niñas se las apoda «salvajes». Algunas niñas salvajes son confinadas por personas, en general sus padres. En algunos casos, el abandono de una niña se debe al rechazo de los padres a la discapacidad intelectual o física grave que tenga la niña.	Haur horiei “basati” esaten zaie. Haur basati batzuk pertsonek giltzapetu zituzten (normalean beren gurasoek), beste batzuetan haurrak alde batera uzten zituzten gurasoek, ez zituztelako onartzen haur baten desgaitasun intelektual edo fisiko larriak. 	1	0	1
Es posible que los niños salvajes hayan sufrido situaciones traumáticas o abuso infantil grave antes de ser abandonados o de que huyeran.	Litekeena da haur basatiek haurtzaroan abusu edo trauma larriak bizi izana bakarrik utzi edo ihes egin aurretik.	Es posible que las niñas salvajes hayan sufrido situaciones traumáticas o abuso infantil grave antes de ser abandonadas o de que huyeran.	Litekeena da haur basatiek haurtzaroan abusu edo trauma larriak bizi izana bakarrik utzi edo ihes egin aurretik.	0	0	1
Se dice que otros fueron criados por animales y que algunos han vivido por su cuenta en el mundo silvestre.	Beste batzuk, ustez, animaliek hazi dituzte; esaten dutenez, beste batzuk beren kabuz bizi izan dira naturan.	Se dice que otras fueron criadas por animales y que algunas han vivido por su cuenta en el mundo silvestre.	Beste batzuk, ustez, animaliek hazi dituzte; esaten dutenez, beste batzuk beren kabuz bizi izan dira naturan.	0	0	1
Cuando el niño salvaje es criado exclusivamente por animales distintos de los humanos, presenta comportamientos (dentro de sus posibilidades físicas) casi en un todo iguales a las del animal específico que lo cuidó, así como su miedo o indiferencia hacia las personas.	Gizakiak ez diren animaliek hazitako haur basatien kasuan, zaintza-animalia jakin horren ia guztiz berdinak diren portaerak izan ohi dituzte (muga fisikoen barruan), hala nola gizakiekiko beldurra edo interes falta.	Cuando la niña salvaje es criada exclusivamente por animales distintos de los humanos, presenta comportamientos (dentro de sus posibilidades físicas) casi en un todo iguales a las del animal específico que la cuidó, así como su miedo o indiferencia hacia las personas.	Gizakiak ez diren animaliek hazitako haur basatien kasuan, zaintza-animalia jakin horren ia guztiz berdinak diren portaerak izan ohi dituzte (muga fisikoen barruan), hala nola gizakiekiko beldurra edo interes falta.	1	0	1
El andamiaje puede presentarse tanto en formato real como virtual; para decirlo de otro modo, un docente es un tipo de andamio, pero también lo es el pequeño sujetapapeles animado de Microsoft Office.	Aldamioak birtualak edo benetakoak izan daitezke; bestela esanda, irakasle bat aldamio mota bat da, baita Microsoft Office-ko klip-gizontxoa ere.	El andamiaje puede presentarse tanto en formato real como virtual; para decirlo de otro modo, una docente es un tipo de andamio, pero también lo es el pequeño sujetapapeles animado de Microsoft Office.	Aldamioak birtualak edo benetakoak izan daitezke; bestela esanda, irakasle bat aldamio mota bat da, baita Microsoft Office-ko klip-gizontxoa ere.	0	0	1
Los andamiajes virtuales se encuentran incorporados al software y su función es cuestionar, estimular o explicar procedimientos que pueden haber resultado complejos para el estudiante por sí solo.	Aldamio birtualak softwarean txertatzen dira, eta ikasleak bakarrik kudeatzeko zailak izan daitezkeen prozeduren inguruko galderak, oharrak eta azalpenak ematen dituzte.	Los andamiajes virtuales se encuentran incorporados al software y su función es cuestionar, estimular o explicar procedimientos que pueden haber resultado complejos para la estudiante por sí sola.	Aldamio birtualak softwarean txertatzen dira, eta ikasleak bakarrik kudeatzeko zailak izan daitezkeen prozeduren inguruko galderak, oharrak eta azalpenak ematen dituzte.	0	0	1
Se acoge a los niños en hogares de guarda por una amplia variedad de motivos, desde negligencia hasta abuso e, incluso, extorsión.	Harreran sartzen diren haurrak hainbat arrazoirengatik daude hor, hala nola utzikeria, abusua edo xantaia.	Se acoge a las niñas en hogares de guarda por una amplia variedad de motivos, desde negligencia hasta abuso e, incluso, extorsión.	Harreran sartzen diren haurrak hainbat arrazoirengatik daude hor, hala nola utzikeria, abusua edo xantaia.	0	0	1
Ningún niño debería tener que crecer, jamás, en un entorno en el que no haya cariño, cuidados y educación; pero sucede.	Haurrak ez lirateke hazi beharko sostengatzen, zaintzen eta hezten ez dituzten inguruneetan, baina halakoak gertatzen dira.	Ninguna niña debería tener que crecer, jamás, en un entorno en el que no haya cariño, cuidados y educación; pero sucede.	Haurrak ez lirateke hazi beharko sostengatzen, zaintzen eta hezten ez dituzten inguruneetan, baina halakoak gertatzen dira.	0	0	1
Podemos percibir que el sistema de acogida familiar proporciona un ámbito seguro para estos niños.	Halako haurrentzat segurtasun-eremua da, gure ustez, Harrera Sistema.	Podemos percibir que el sistema de acogida familiar proporciona un ámbito seguro para estas niñas.	Halako haurrentzat segurtasun-eremua da, gure ustez, Harrera Sistema.	0	0	1
El objetivo de nuestro sistema de crianza de acogida es ofrecer hogares seguros, tutores amorosos, educación sostenida y asistencia médica confiable.	Gure harrera-sistemak etxe seguruak, maitasuna ematen duten zaintzaileak, hezkuntza egonkorra eta osasun-zaintza fidagarria eman behar ditu.	El objetivo de nuestro sistema de crianza de acogida es ofrecer hogares seguros, tutoras amorosas, educación sostenida y asistencia médica confiable.	Gure harrera-sistemak etxe seguruak, maitasuna ematen duten zaintzaileak, hezkuntza egonkorra eta osasun-zaintza fidagarria eman behar ditu.	0	0	1
El objetivo del acogimiento familiar es cubrir todas las necesidades que no eran atendidas en el hogar del que fueron recogidos con anterioridad.	Atzean utzi dituzten etxeetan falta zitzaizkien behar guztiak eman behar dizkie harrerak.	El objetivo del acogimiento familiar es cubrir todas las necesidades que no eran atendidas en el hogar del que fueron recogidas con anterioridad.	Atzean utzi dituzten etxeetan falta zitzaizkien behar guztiak eman behar dizkie harrerak.	0	0	1
Durante un estudio de las reacciones de los usuarios a los sitios web conducido por Eighmey y McCord (1998), se detectaron también la «participación personal» y las «relaciones duraderas» como nuevos factores motivacionales.	“Inplikazio pertsonala” eta “harreman jarraitua” ere motibazio-alderdi gisa identifikatu zituzten Eighmey eta McCord-ek (1998), jendeak webguneekiko zuen erreakzioa ikertu zutenean.	Durante un estudio de las reacciones de las usuarias a los sitios web conducido por Eighmey y McCord (1998), se detectaron también la «participación personal» y las «relaciones duraderas» como nuevos factores motivacionales.	“Inplikazio pertsonala” eta “harreman jarraitua” ere motibazio-alderdi gisa identifikatu zituzten Eighmey eta McCord-ek (1998), jendeak webguneekiko zuen erreakzioa ikertu zutenean.	0	0	1
Oliver Sacks, en su artículo El discurso del presidente, explicó la forma en que aquellos que no pueden comprender el habla a causa de un daño cerebral, pueden, no obstante, evaluar la sinceridad con precisión.	Oliver Sacks-ek, Presidentearen hitzaldia artikulu zientifikoan, adierazi zuen garunean kalteak pairatzeagatik hizketa ulertzeko gai ez diren pertsonak gai direla zintzotasuna zuzen atzemateko.	Oliver Sacks, en su artículo El discurso del presidente, explicó la forma en que aquellas que no pueden comprender el habla a causa de un daño cerebral, pueden, no obstante, evaluar la sinceridad con precisión.	Oliver Sacks-ek, Presidentearen hitzaldia artikulu zientifikoan, adierazi zuen garunean kalteak pairatzeagatik hizketa ulertzeko gai ez diren pertsonak gai direla zintzotasuna zuzen atzemateko.	1	0	1
Las proteínas presentes en las hojas y las legumbres hubiesen constituido la fuente de recursos vegetales de más sencillo acceso, pero no son fácilmente digeribles para primates como nosotros, excepto que se las cocine.	Hostoetan eta lekaleetan dauden proteinak izango lirateke eskuragarrien dituzten landare-baliabideak, baina gu bezalako primateentzat digeritzeko zailak dira prestatu gabe daudenean.	Las proteínas presentes en las hojas y las legumbres hubiesen constituido la fuente de recursos vegetales de más sencillo acceso, pero no son fácilmente digeribles para primates como nosotras, excepto que se las cocine.	Hostoetan eta lekaleetan dauden proteinak izango lirateke eskuragarrien dituzten landare-baliabideak, baina gu bezalako primateentzat digeritzeko zailak dira prestatu gabe daudenean.	0	0	1
En definitiva, no debería causarnos sorpresa si nuestros propios predecesores resolvían sus «problemas proteicos» del mismo modo que los chimpancés de la sabana en la actualidad.	Guztia kontuan hartuz gero, ez litzateke harrigarria suertatu beharko jakitea gure aitzindariek “proteinen arazoa” sabanako txinpantzeek gaur egiten duten era bertsuan konpondu izana.	En definitiva, no debería causarnos sorpresa si nuestras propias predecesoras resolvían sus «problemas proteicos» del mismo modo que los chimpancés de la sabana en la actualidad.	Guztia kontuan hartuz gero, ez litzateke harrigarria suertatu beharko jakitea gure aitzindariek “proteinen arazoa” sabanako txinpantzeek gaur egiten duten era bertsuan konpondu izana.	0	0	1
Esto puede lograrse fácilmente con un reloj de alarma más o menos suave que lo haga volver a un estado consciente, aunque sin despertarlo por completo.	Hori erraz lor daiteke kontziente egotea eragin baina guztiz esnatzen ez zaituen alarma apal bat erabilita.	Esto puede lograrse fácilmente con un reloj de alarma más o menos suave que la haga volver a un estado consciente, aunque sin despertarla por completo.	Hori erraz lor daiteke kontziente egotea eragin baina guztiz esnatzen ez zaituen alarma apal bat erabilita.	0	0	1
Otras opciones que se basan en el ritmo biológico consisten en beber mucho líquido (en especial agua o té, conocido diurético) antes de acostarse, lo que lo obligará a levantarse para orinar.	Biorritmoetan oinarritutako aukeren artean lo egin aurretik likido ugari edatea da beste bat (batez ere ura edo tea edatea, diuretiko ezaguna baita), pixa egitera jaikitzera behartzeko.	Otras opciones que se basan en el ritmo biológico consisten en beber mucho líquido (en especial agua o té, conocido diurético) antes de acostarse, lo que la obligará a levantarse para orinar.	Biorritmoetan oinarritutako aukeren artean lo egin aurretik likido ugari edatea da beste bat (batez ere ura edo tea edatea, diuretiko ezaguna baita), pixa egitera jaikitzera behartzeko.	0	0	1
Cuanto más baja sea la tensión, más positiva es la fuerza de la vida con la que contemos. Cada uno de nosotros tiene el potencial de hallar paz y dicha absolutas.	Zenbat eta tentsio gutxiago, orduan eta bizi-indar positibo gehiago dago. Pertsona guztiek dute bake eta betetasun absolutua aurkitzeko ahalmena.	Cuanto más baja sea la tensión, más positiva es la fuerza de la vida con la que contemos. Cada una de nosotras tiene el potencial de hallar paz y dicha absolutas.	Zenbat eta tentsio gutxiago, orduan eta bizi-indar positibo gehiago dago. Pertsona guztiek dute bake eta betetasun absolutua aurkitzeko ahalmena.	0	0	1
