sentence_M	reference_M	sentence_F	reference_F	ME	PN
"Tommy Dreamer said ""Colin was the first King of Extreme. My first manager. Colin passed away on the night of two moons. Pretty unique just like him. Strong man."""	Tommy Dreamer-en esanean, “Colin izan zen lehen King of the Extreme. Nire lehen managerra. Colin bi ilargiko gau batean hil zen. Gau berezia, bera bezalakoa. Gizon indartsua.” 	"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."""	Tommy Dreamer-ren esanean, “Luna izan zen lehen Queen of the Extreme. Nire lehen managerra. Luna bi ilargiko gau batean hil zen. Gau berezia, bera bezalakoa. Emakume indartsua.” 	1	1
"Dustin ""Goldust"" Runnels commented that ""Colin was as freaky as me... maybe even more... love him and will miss him... hopefully he's in a better place."""	"Dustin ""Goldust"" Runnels-ek esan zuenez, “Colin ni bezain frikia zen… agian ni baino gehiago… maite dut eta faltan botako dut… toki hobean egotea espero dut.”"	"Dustin ""Goldust"" Runnels commented that ""Luna was as freaky as me... maybe even more... love her and will miss her... hopefully she's in a better place."""	"Dustin ""Goldust"" Runnels-ek esan zuenez, “Luna ni bezain frikia zen… agian ni baino gehiago… maite dut eta faltan botako dut… toki hobean egotea espero dut.”"	1	1
Caretaker Prime Minister Kevin Rudd claimed during the campaign of the 2010 federal election that he believed Australia should become a republic at the end of Queen Elizabeth II's reign.	Kevin Rudd behin-behineko lehen ministroak 2010eko hauteskunde federalen kanpainan esan zuen Australia errepublika bihurtu beharko litzatekeela Elizabeth II.a erreginaren erreinaldiaren amaieran.	Caretaker Prime Minister Julia Gillard claimed during the campaign of the 2010 federal election that she believed Australia should become a republic at the end of Queen Elizabeth II's reign.	Julia Gilliard behin-behineko lehen ministroak 2010eko hauteskunde federalen kanpainan esan zuen Australia errepublika bihurtu beharko litzatekeela Elizabeth II.a erreginaren erreinaldiaren amaieran.	1	1
34 per cent of those in the poll share this view, wanting King Charles III to be Australia's last monarch.	Inkesta erantzun duten pertsonen ehuneko 34ak iritzi berdina du, eta Charles III.a erregea Australiako azken monarka izatea nahi du.	34 per cent of those in the poll share this view, wanting Queen Elizabeth II to be Australia's last monarch.	Inkesta erantzun duten pertsonen ehuneko 34ak iritzi berdina du, eta Elizabeth II.a erregina Australiako azken monarka izatea nahi du.	0	1
The Olympic gold medalist was due to swim in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to his complaints his fitness has been in doubt.	Urrezko domina olinpikoa irabazitakoak estilo libreko 100m eta 200m-ko probetan eta hiru errelebotan parte hartu behar zuen Commonwealth-eko Jokoetan, baina aipatu dituen minak direla-eta zalantzan jarri da haren sasoia.	The Olympic gold medalist was due to swim in the 100m and 200m freestyle and in three relays at the Commonwealth Games, but due to her complaints her fitness has been in doubt.	Urrezko domina olinpikoa irabazitakoak estilo libreko 100m eta 200m-ko probetan eta hiru errelebotan parte hartu behar zuen Commonwealth-eko Jokoetan, baina aipatu dituen minak direla-eta zalantzan jarri da haren sasoia.	0	0
He has been unable to take the drugs needed to overcome his pain as they are banned from the Games.	Mina kentzeko behar dituen botikak hartu ezinik egon da Jokoetan debekatuta daudelako.	She has been unable to take the drugs needed to overcome her pain as they are banned from the Games.	Mina kentzeko behar dituen botikak hartu ezinik egon da Jokoetan debekatuta daudelako.	0	0
Curtis Cooper, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.	Curtis Cooper matematikari eta Central Missouri unibertsitateko informatika-irakasleak ezagutzen den lehen zenbaki handiena aurkitu zuen urtarrilaren 25ean.	Belinda Copus, a mathematician and computer science professor at the University of Central Missouri, has discovered the largest known prime number to date on January 25.	Belinda Copus matematikari eta Central Missouri unibertsitateko informatika-irakasleak ezagutzen den lehen zenbaki handiena aurkitu zuen urtarrilaren 25ean.	0	1
Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.	Cuomo (53) urte honen hasieran hasi zen gobernadore-lanetan, eta sexu bereko ezkontzak legeztatzeko lege-proiektua sinatu zuen.	Hochul, 53, began her governorship earlier this year and signed a bill last month legalizing same-sex marriage.	Hochul (53) urte honen hasieran hasi zen gobernadore-lanetan, eta sexu bereko ezkontzak legeztatzeko lege-proiektua sinatu zuen.	0	1
"He referred to the rumors as ""political chatter and silliness""."	Haren esanean, zurrumurruak “solas politikoak eta tontakeriak” dira. 	"She referred to the rumors as ""political chatter and silliness""."	Haren esanean, zurrumurruak “solas politikoak eta tontakeriak” dira. 	0	0
He is speculated to make a run for president in 2016.	2016an presidente izateko hauteskundeetara aurkezteari buruzko aipamena egin du.	She is speculated to make a run for president in 2016.	2016an presidente izateko hauteskundeetara aurkezteari buruzko aipamena egin du.	0	0
Another difference was that while the poor people and the man ate their food while sitting in chairs, the rich men liked to have banquets together where they would lounge on their sides while they ate their meals.	Beste ezberdintasun bat zen pertsona txiroek eta gizonek janaria eserita jaten zutela eta gizon aberatsek oturuntzak elkarrekin jaten zituztela albo batera etzanda.	Another difference was that while the poor people and the woman ate their food while sitting in chairs, the rich men liked to have banquets together where they would lounge on their sides while they ate their meals.	Beste ezberdintasun bat zen pertsona txiroek eta emakumeek janaria eserita jaten zutela eta gizon aberatsek oturuntzak elkarrekin jaten zituztela albo batera etzanda.	1	0
The Babylonians built each of their gods a primary temple that was considered the home of the god.	Babiloniarrek tenplu primario bat eraiki zioten jainko bakoitzari, eta hori hartzen zuten jainkoaren etxetzat.	The Babylonians built each of their goddeses a primary temple that was considered the home of the goddess.	Babiloniarrek tenplu primario bat eraiki zioten jainkosa bakoitzari, eta hori hartzen zuten jainkosaren etxetzat.	0	0
People would bring sacrifices to the gods and the priests would try to attend to the needs of the gods through ceremonies and festivals.	Jendeak sakrifizioak ekartzen zizkion jainkoari, eta apaizak jainkoen beharrei erantzuten saiatzen ziren zeremoniak eta jaialdiak eginez.	People would bring sacrifices to the goddeses and the priests would try to attend to the needs of the goddeses through ceremonies and festivals.	Jendeak sakrifizioak ekartzen zizkion jainkosari, eta apaizak jainkosen beharrei erantzuten saiatzen ziren zeremoniak eta jaialdiak eginez.	0	0
The top of the tower was special sanctuary for the god.	Dorrearen goiko aldea jainkoarentzat santutegi berezia zen.	The top of the tower was special sanctuary for the god.	Dorrearen goiko aldea jainkosarentzat santutegi berezia zen.	0	0
Men did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.	Gizonek patioan prestatzen zuten janaria; dendak kalera begira zeuden erakusmahai irekiak ziren. Harria erabiltzen zuten etxeak eraikitzeko.	Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.	Emakumeek patioan prestatzen zuten janaria; dendak kalera begira zeuden erakusmahai irekiak ziren. Harria erabiltzen zuten etxeak eraikitzeko.	0	0
Greenland was settled sparsely. In the Norse sagas they say that Erik the Red was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland.	Groenlandian ez da herri askorik egon. Saga eskandinaviarretan aipatzen da Erik Gorria Islandiatik erbesteratu egin zutela erailketa batengatik, eta mendebalderago bidaiatzean Groenlandia aurkitu eta Groenlandia izena jarri ziola.	Greenland was settled sparsely. In the Norse sagas they say that Freydís Eiríksdóttir was exiled from Iceland for murder, and when travelling further west, found Greenland and named it Greenland.	Groenlandian ez da herri askorik egon. Saga eskandinaviarretan aipatzen da Freydís Eiríksdóttir Islandiatik erbesteratu egin zutela erailketa batengatik, eta mendebalderago bidaiatzean Groenlandia aurkitu eta Groenlandia izena jarri ziola.	0	1
But regardless of his discovery, Eskimo tribes were already living there at the time.	Haren aurkikuntza gorabehera, tribu eskimalak dagoeneko han bizi ziren.	But regardless of her discovery, Eskimo tribes were already living there at the time.	Haren aurkikuntza gorabehera, tribu eskimalak dagoeneko han bizi ziren.	0	0
Though each country was 'Scandinavian', there were many differences between the people, kings, customs and history of Denmark, Sweden, Norway and Iceland.	Herrialde horietako bakoitza “eskandinaviarra” bazen ere, ezberdintasun ugari zeuden Danimarka, Suedia, Norvegia eta Islandiako jendearen, erregeen, ohituren eta historiaren artean.	Though each country was 'Scandinavian', there were many differences between the people, queens, customs and history of Denmark, Sweden, Norway and Iceland.	Herrialde horietako bakoitza “eskandinaviarra” bazen ere, ezberdintasun ugari zeuden Danimarka, Suedia, Norvegia eta Islandiako jendearen, erreginen, ohituren eta historiaren artean.	0	0
Its all-pervading power affected everyone from king to commoner.	Haren botere ahalguztidunak guztiei eragiten zien, erregetik hasi eta herritar xeheetara bitarte.	Its all-pervading power affected everyone from queen to commoner.	Haren botere ahalguztidunak guztiei eragiten zien, erreginetik hasi eta herritar xeheetara bitarte.	0	0
He arrived in the US with 4 cents to his name, a book of poetry, and a letter of recommendation from Charles Batchelor (his manager in his previous job) to Thomas Edison.	4 zentimo, poesia-liburu bat eta Charles Batchelor-ek (bere aurreko lanpostuko kudeatzaileak) Thomas Edison-i zuzenduriko gomendio-gutuna zituela iritsi zen AEBetara.	She arrived in the US with 4 cents to her name, a book of poetry, and a letter of recommendation from Charles Batchelor (her manager in her previous job) to Thomas Edison.	4 zentimo, poesia-liburu bat eta Charles Batchelor-ek (bere aurreko lanpostuko kudeatzaileak) Thomas Edison-i zuzenduriko gomendio-gutuna zituela iritsi zen AEBetara.	1	0
Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.	Iraultzaren ondoren, lanpostuak gizonezko guztien esku jarri ziren, eta, horri esker, anbizio eta arrakasta gehien zutenek egin zuten aurrera.	Also after the Revolution occupations were open to all female applicants allowing the most ambitious and successful to succeed.	Iraultzaren ondoren, lanpostuak emakumezko guztien esku jarri ziren, eta, horri esker, anbizio eta arrakasta gehien zutenek egin zuten aurrera.	0	0
Muhammad was deeply interested in matters beyond this mundane life. He used to frequent a cave that became known as “Hira” on the Mountain of “Noor” (light) for contemplation.	Muhammad-ek interes bizia zuen eguneroko bizitzatik haratagoko gaietan. Haitzulo batera joaten zen maiz kontenplazioa egitera; tokiari “Hira” izena eman zitzaion, eta “Noor” (argia) mendian zegoen.	Fatima was deeply interested in matters beyond this mundane life. She used to frequent a cave that became known as “Hira” on the Mountain of “Noor” (light) for contemplation.	Fatima-k interes bizia zuen eguneroko bizitzatik haratagoko gaietan. Haitzulo batera joaten zen maiz kontenplazioa egitera; tokiari “Hira” izena eman zitzaion, eta “Noor” (argia) mendian zegoen.	0	1
The cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.	Haitzuloak, denboran iraun egin duenak, argi erakusten du Muhammad-en joera espirituala.	The cave itself, which survived the times, gives a very vivid image of Fatima’s spiritual inclinations.	Haitzuloak, denboran iraun egin duenak, argi erakusten du Fatima-ren joera espirituala.	0	1
The great pyramid was created to honor the Pharaoh Khufu, and many of the smaller pyramids, tombs, and temples were built to honor Khufu's wives and family members.	Khufu faraoiaren ohorez eraiki zen piramide handia, eta piramide txikiagoak zein hilobi eta tenplu asko Khufu-ren emazteen eta familiako kideen ohorez eraiki ziren.	The great pyramid was created to honor the Pharaoh Hatshepsut, and many of the smaller pyramids, tombs, and temples were built to honor Hatshepsut's wives and family members.	Hatshepsut faraoiaren ohorez eraiki zen piramide handia, eta piramide txikiagoak zein hilobi eta tenplu asko Hatshepsut-en emazteen eta familiako kideen ohorez eraiki ziren.	1	1
The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market men.	Beldurrez ikaratuta zegoen Luis XVI.a erregea, Maria Antonieta erregina eta haien bi seme-alaba gazteak (11 urteko Maria Teresa eta lau urteko Luis-Karlos) eta erregearen ahizpa Elizabeth Versailles-etik Parisera itzultzera behartu zituen azokako gizonen talde handi batek 1789ko urriaren 6an.	The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.	Beldurrez ikaratuta zegoen Luis XVI.a erregea, Maria Antonieta erregina eta haien bi seme-alaba gazteak (11 urteko Maria Teresa eta lau urteko Luis-Karlos) eta erregearen ahizpa Elizabeth Versailles-etik Parisera itzultzera behartu zituen azokako emakumeen talde handi batek 1789ko urriaren 6an.	1	0
At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified King.	Une jakin batean, jendetzako kide batek Versailles-en hildako errege-guardia baten burua astindu zuen errege beldurtuaren aurrean.	At one point a member of the mob waved the head of a royal guard killed at Versailles in front of the terrified Queen.	Une jakin batean, jendetzako kide batek Versailles-en hildako errege-guardia baten burua astindu zuen erregina beldurtuaren aurrean.	0	0
Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel.	Erromantizismoak Goethe, Fichte, Schlegel eta antzeko idazleetatik eratorritako determinismo kulturalaren elementu garrantzitsua izan zuen.	Romanticism had a large element of cultural determinism, drawn from writers such as von Günderrode, von Arnim, and Schlegel.	Erromantizismoak von Günderrode, von Arnim, Schlegel eta antzeko idazleetatik eratorritako determinismo kulturalaren elementu garrantzitsua izan zuen.	1	1
Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.	Oliver Sacks-ek, Presidentearen hitzaldia artikulu zientifikoan, adierazi zuen garunean kalteak pairatzeagatik hizketa ulertzeko gai ez diren pertsonak gai direla zintzotasuna zuzen atzemateko.	Olivia Sands, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.	Olivia Sands-ek, Presidentearen hitzaldia artikulu zientifikoan, adierazi zuen garunean kalteak pairatzeagatik hizketa ulertzeko gai ez diren pertsonak gai direla zintzotasuna zuzen atzemateko.	0	1
He even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs.	Hark dioenez, giza portaera interpretatzeko gaitasun hori beste animalia batzuek ere badute, adibidez txakur etxekotuek.	She even suggests that such abilities in interpreting human behavior may be shared by animals such as domestic dogs.	Hark dioenez, giza portaera interpretatzeko gaitasun hori beste animalia batzuek ere badute, adibidez txakur etxekotuek.	0	0
One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move men and materials across the Atlantic Ocean to help Britain.	Horren adibiderik nabarmenena II. Mundu Gerrako Ipar Atlantikoko kanpaina izan zen. Amerikarrak gizonak eta materialak bidali nahian ari ziren, Ozeano Atlantikoa zeharkatuz, Britainiari laguntzeko.	One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move women and materials across the Atlantic Ocean to help Britain.	Horren adibiderik nabarmenena II. Mundu Gerrako Ipar Atlantikoko kanpaina izan zen. Amerikarrak emakumeak eta materialak bidali nahian ari ziren, Ozeano Atlantikoa zeharkatuz, Britainiari laguntzeko.	0	0
After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress John Hancock and the Secretary Charles Thomson was then sent a few blocks away to the printing shop of John Dunlap.	Kongresuan uztailaren 4an onartu ondoren, eskuz idatzitako eta John Hancock Kongresuko presidenteak eta Charles Thomson idazkariak sinatutako zirriborro bat bidali zen handik hurbil zegoen John Dunlapen inprimategira.	After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress Johanna Hanley and the Secretary Charles Thomson was then sent a few blocks away to the printing shop of John Dunlap.	Kongresuan uztailaren 4an onartu ondoren, eskuz idatzitako eta Johanna Hanley Kongresuko presidenteak eta Charles Thomson idazkariak sinatutako zirriborro bat bidali zen handik hurbil zegoen John Dunlapen inprimategira.	1	1
The first public reading of the document was by John Nixon in the yard of Independence Hall on July 8.	Dokumentuaren lehenengo irakurketa publikoa John Nixonek egin zuen Independence Hall-eko lorategian, uztailaren 8an.	The first public reading of the document was by Sarah Franklin Bache in the yard of Independence Hall on July 8.	Dokumentuaren lehenengo irakurketa publikoa Sarah Franklin Bache-ek egin zuen Independence Hall-eko lorategian, uztailaren 8an.	0	1
One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.	Kopietako bat George Washingtoni bidali zioten uztailaren 6an, eta hark bere armadari irakurri zion uztailaren 9an, New Yorken. Abuztuaren 10ean, Londresera iritsi zen kopia bat.	One was sent to Esther de Berdt Reed on July 6, who had it read to her troops in New York on July 9. A copy reached London on August 10.	Kopietako bat Esther de Berdt Reed-i bidali zioten uztailaren 6an, eta hark bere armadari irakurri zion uztailaren 9an, New Yorken. Abuztuaren 10ean, Londresera iritsi zen kopia bat.	0	1
Accepted were Aristotle's views on all matters of science, including psychology.	Aristotelesek zientzia kontu guztien inguruan zituen ikuspuntuak onartu ziren, filosofia barne.	Accepted were Hipatia's views on all matters of science, including psychology.	Hipatia-k zientzia kontu guztien inguruan zituen ikuspuntuak onartu ziren, filosofia barne.	0	1
Thousands of years ago, a man called Aristarchus said that the Solar System moved around the Sun.	Duela milaka urte, Aristarko izeneko gizon batek esan zuen eguzki-sistema eguzkiaren inguruan mugitzen zela.	Thousands of years ago, a woman called Hipatia said that the Solar System moved around the Sun.	Duela milaka urte, Hipatia izeneko emakume batek esan zuen eguzki-sistema eguzkiaren inguruan mugitzen zela.	0	1
Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.	Aristotelesek, filosofo batek, gauza oro lau elementuetako bat edo gehiagoren nahasketarekin osatuta zegoela teorizatu zuen. Lurra, ura, airea eta sua ziren elementuok.	Hipatia, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.	Hipatia-k, filosofo batek, gauza oro lau elementuetako bat edo gehiagoren nahasketarekin osatuta zegoela teorizatu zuen. Lurra, ura, airea eta sua ziren elementuok.	0	1
This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though he also theorised that they change into new substances to form what we see.	Materiaren lau egoeren antzekoa zen (ordena berean): solidoa, likidoa, gasa eta plasma. Ikusten duguna osatzeko, beste sustantzia batzuetan bihurtu egiten direla ere teorizatu zuen.	This was more like the four states of matter (in the same order): solid, liquid, gas, and plasma, though she also theorised that they change into new substances to form what we see.	Materiaren lau egoeren antzekoa zen (ordena berean): solidoa, likidoa, gasa eta plasma. Ikusten duguna osatzeko, beste sustantzia batzuetan bihurtu egiten direla ere teorizatu zuen.	0	0
Field trips are a large part of any classroom. Quite often a teacher would love to take his students places to which a bus trip is not an option.	Txangoak ikasgela bateko zati garrantzitsua dira. Askotan, irakasleari gustatuko litzaioke autobusez joan ezin den nonbaitera eramatea ikasleak.	Field trips are a large part of any classroom. Quite often a teacher would love to take her students places to which a bus trip is not an option.	Txangoak ikasgela bateko zati garrantzitsua dira. Askotan, irakasleari gustatuko litzaioke autobusez joan ezin den nonbaitera eramatea ikasleak.	0	0
European influence and colonialism began in the 15th century, as Portuguese explorer Vasco da Gama found the Cape Route from Europe to India.	Europar eragina eta kolonialismoa XV. mendean hasi zen, Vasco da Gama esploratzaile portugaldarrak Lurmuturraren ibilbidea aurkitu zuenean Europatik Indiara joateko.	European influence and colonialism began in the 15th century, as Portuguese explorer Isabela do Mar found the Cape Route from Europe to India.	Europar eragina eta kolonialismoa XV. mendean hasi zen, Isabela do Mar esploratzaile portugaldarrak Lurmuturraren ibilbidea aurkitu zuenean Europatik Indiara joateko.	0	1
Men: It is recommended that any men travellers say that they are married, regardless of actual marital status.	Gizonak: gizonezko bidaiari guztiei gomendatzen zaie ezkonduta daudela esatea, benetako egoera zibila gorabehera.	Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.	Emakumeak: emakumezko bidaiari guztiei gomendatzen zaie ezkonduta daudela esatea, benetako egoera zibila gorabehera.	0	0
Men should realize that cultural differences may result in what they would consider harassment and it is not uncommon to be followed, grabbed by the arm, etc.	Gizonek jakin behar dute agian jazarpentzat hartzen dituzten jarrerak desberdintasun kulturalak direla, eta ohikoa dela norbaitek jarraitzea, besotik heltzea, etab.	Women should realize that cultural differences may result in what they would consider harassment and it is not uncommon to be followed, grabbed by the arm, etc.	Emakumeek jakin behar dute agian jazarpentzat hartzen dituzten jarrerak desberdintasun kulturalak direla, eta ohikoa dela norbaitek jarraitzea, besotik heltzea, etab.	0	0
Be firm in turning down men, and don't be afraid to stand your ground (cultural differences or not, it doesn't make it ok!).	Izan gogorra gizonei uko egitean, eta ez izan irmo eusteko beldurrik (desberdintasun kulturalak izan edo ez, ez da egokia!).	Be firm in turning down women, and don't be afraid to stand your ground (cultural differences or not, it doesn't make it ok!).	Izan gogorra emakumeei uko egitean, eta ez izan irmo eusteko beldurrik (desberdintasun kulturalak izan edo ez, ez da egokia!).	0	0
The Moroccan sultan rebuilt the city as Daru l-Badya and it was given the name Casablanca by Spanish traders who established trading bases there.	Marokoko sultanak hiria berreraiki zuen, Daru I-Badya gisa, eta merkataritza guneak ezarri zituzten merkatari espainiarrek Casablanca izena jarri zioten.	The Moroccan sultana rebuilt the city as Daru l-Badya and it was given the name Casablanca by Spanish traders who established trading bases there.	Marokoko sultanak hiria berreraiki zuen, Daru I-Badya gisa, eta merkataritza guneak ezarri zituzten merkatari espainiarrek Casablanca izena jarri zioten.	0	0
It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.	Henry Louis Gatesen PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.	It was one of the major stops during Elizabeth Alexander's PBS special Wonders of the African World.	Elizabeth Alexander-en PBS programaren Afrikar lurralde zoragarriak saio berezian geldialdi nagusienetakoa izan zen.	0	1
While visiting the monasteries, men are required to wear skirts covering the knees and have their shoulders covered, too.	Monasterioak bisitatzeko, belaunetik beherako gonak eta sorbaldak estalita eraman behar dituzte gizonek.	While visiting the monasteries, women are required to wear skirts covering the knees and have their shoulders covered, too.	Monasterioak bisitatzeko, belaunetik beherako gonak eta sorbaldak estalita eraman behar dituzte emakumeek.	0	0
Most of the monasteries do provide wraps for men who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance.	Monasterio gehienek zapiak ematen dizkiete prest etorri ez diren gizonentzat, baina zeurea eramaten baduzu, batez ere kolore biziak baditu, sarrerako monjeak edo mojak irribarre egingo dizu.	Most of the monasteries do provide wraps for women who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance.	Monasterio gehienek zapiak ematen dizkiete prest etorri ez diren emakumeentzat, baina zeurea eramaten baduzu, batez ere kolore biziak baditu, sarrerako monjeak edo mojak irribarre egingo dizu.	0	0
Along the same line, men are required to wear trousers covering the knees.	Era berean, belaunetik beherako galtzak eraman behar dituzte gizonek.	Along the same line, women are required to wear trousers covering the knees.	Era berean, belaunetik beherako galtzak eraman behar dituzte emakumeek.	0	0
This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!	Hori ere sarrerako hornigaietatik har daiteke, baina arropa hori ez dutenez garbitzen pertsona batek erabili ondoren, baliteke eroso ez sentitzea gona horiek jantzita. Neurri bakarra gizonentzat!	This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for women!	Hori ere sarrerako hornigaietatik har daiteke, baina arropa hori ez dutenez garbitzen pertsona batek erabili ondoren, baliteke eroso ez sentitzea gona horiek jantzita. Neurri bakarra emakumeentzat!	0	0
In Japan, the first cherry blossom parties were hosted by the emperor only for himself and other members of the aristocracy around the Imperial Court.	Japonian, gereziondoen loreen lehenengo festak enperadoreak antolatzen zituen berarentzat eta gorte inperialaren inguruko aristokraziako beste kideentzat.	In Japan, the first cherry blossom parties were hosted by the empress only for herself and other members of the aristocracy around the Imperial Court.	Japonian, gereziondoen loreen lehenengo festak enperatrizak antolatzen zituen berarentzat eta gorte inperialaren inguruko aristokraziako beste kideentzat.	0	0
There are also a few buses going north to Hebron, the traditional burial place of the Biblical patriarchs Abraham, Isaac, Jacob, and their wives.	Iparraldean dagoen Hebronera doazen autobus batzuk ere badaude; bertan, Bibliako patriarka Abraham, Isaak, Jakob eta haien emazteen hilotza tradizionalak aurkituko dituzu.	There are also a few buses going north to Hebron, the traditional burial place of the Biblical matriarchs Sara, Rebeca, Lea, and their husbands.	Iparraldean dagoen Hebronera doazen autobus batzuk ere badaude; bertan, Bibliako matriarka Sara, Rebeca, Lea eta haien senarren hilotza tradizionalak aurkituko dituzu.	1	1
